"","lat_bin","lon_bin","geartype","fishing_hours"
"15",-8.4,136.68,"trawlers",8.85166666666667
"16",-8.33,136.62,"trawlers",3.74111111111111
"17",-8.28,136.62,"trawlers",8.25333333333333
"19",-8.23,136.62,"trawlers",7.28444444444444
"29",-6.06,107.54,"trawlers",4.56805555555556
"30",-6.06,107.55,"trawlers",7.33638888888889
"31",-6.04,107.61,"trawlers",9.22069444444444
"32",-6.04,107.56,"trawlers",3.79152777777778
"38",-12.79,92.67,"drifting_longlines",5.04694444444444
"39",-12.78,92.5,"drifting_longlines",1.83347222222222
"40",-12.77,92.36,"drifting_longlines",1.57444444444444
"41",-12.77,92.25,"drifting_longlines",2.22736111111111
"42",-12.76,92.56,"drifting_longlines",3.59597222222222
"43",-12.76,92.28,"drifting_longlines",1.87347222222222
"44",-10.11,87.92,"drifting_longlines",3.23013888888889
"45",-10.09,88.06,"drifting_longlines",1.80458333333333
"46",-10.07,88.18,"drifting_longlines",1.73333333333333
"47",-10.03,88.32,"drifting_longlines",0.968194444444444
"48",-10.03,88.31,"drifting_longlines",0.933055555555556
"49",-9.98,88.34,"drifting_longlines",3.58777777777778
"50",-9.92,91.07,"drifting_longlines",5.06263888888889
"51",-9.91,91.07,"drifting_longlines",2.31708333333333
"52",-9.91,88.28,"drifting_longlines",1.56722222222222
"53",-9.86,88.3,"drifting_longlines",2.02638888888889
"54",-12.41,92.97,"drifting_longlines",4.20333333333333
"55",-12.4,92.97,"drifting_longlines",4.11263888888889
"56",-9.84,88.27,"drifting_longlines",1.11902777777778
"57",-9.84,88.25,"drifting_longlines",0.945972222222222
"58",-12.39,92.48,"drifting_longlines",1.80375
"59",-12.38,92.6,"drifting_longlines",1.7925
"60",-12.36,92.32,"drifting_longlines",1.87222222222222
"62",-12.33,92.32,"drifting_longlines",3.61291666666667
"63",-12.33,92.43,"drifting_longlines",1.58486111111111
"64",-12.33,92.7,"drifting_longlines",3.23625
"65",-12.32,92.5,"drifting_longlines",2.03861111111111
"66",-12.32,93.05,"drifting_longlines",2.31916666666667
"67",-12.32,93.06,"drifting_longlines",3.25333333333333
"68",-12.31,92.52,"drifting_longlines",1.99333333333333
"69",-9.58,91.1,"drifting_longlines",3.22583333333333
"70",-9.57,89.47,"drifting_longlines",3.21555555555556
"71",-9.56,89.47,"drifting_longlines",1.41722222222222
"72",-12.08,92.94,"drifting_longlines",4.11277777777778
"74",-12.07,90.42,"drifting_longlines",1.85138888888889
"75",-12.01,90.29,"drifting_longlines",1.78763888888889
"76",-11.97,90.25,"drifting_longlines",1.98861111111111
"77",-9.41,91.11,"drifting_longlines",1.82777777777778
"78",-11.95,90.18,"drifting_longlines",1.80694444444444
"79",-11.9,90.04,"drifting_longlines",4.16625
"80",-11.9,92.99,"drifting_longlines",4.97027777777778
"81",-9.32,89.5,"drifting_longlines",2.30652777777778
"83",-9.27,91.12,"drifting_longlines",1.80986111111111
"84",-11.81,89.91,"drifting_longlines",1.83041666666667
"85",-9.17,89.5,"drifting_longlines",1.85097222222222
"86",-11.72,89.78,"drifting_longlines",4.04680555555556
"87",-11.69,89.77,"drifting_longlines",3.65638888888889
"88",-9.13,91.16,"drifting_longlines",3.59833333333333
"90",-9.11,91.13,"drifting_longlines",1.84388888888889
"91",-11.6,92.88,"drifting_longlines",4.13263888888889
"92",-9,89.52,"drifting_longlines",1.79861111111111
"93",-8.94,91.14,"drifting_longlines",1.57513888888889
"94",-8.94,89.42,"drifting_longlines",1.81708333333333
"95",-11.49,92.88,"drifting_longlines",1.79972222222222
"96",-8.9,91.2,"drifting_longlines",1.80847222222222
"97",-8.9,89.44,"drifting_longlines",3.60291666666667
"98",-8.88,91.16,"drifting_longlines",1.30166666666667
"99",-8.88,91.15,"drifting_longlines",0.945833333333333
"100",-11.43,89.8,"drifting_longlines",5.94902777777778
"101",-11.38,92.88,"drifting_longlines",1.83930555555556
"102",-8.8,89.41,"drifting_longlines",1.70597222222222
"103",-11.26,92.89,"drifting_longlines",1.5975
"104",-8.65,89.41,"drifting_longlines",0.903611111111111
"105",-11.19,92.89,"drifting_longlines",0.909722222222222
"106",-11.19,92.87,"drifting_longlines",1.11652777777778
"107",-8.63,89.42,"drifting_longlines",0.808333333333333
"108",-11.18,92.88,"drifting_longlines",0.963888888888889
"109",-8.62,89.43,"drifting_longlines",0.914027777777778
"110",-8.62,89.46,"drifting_longlines",1.06972222222222
"111",-11.17,92.91,"drifting_longlines",3.59180555555556
"112",-11.17,92.87,"drifting_longlines",1.1125
"113",-8.61,89.42,"drifting_longlines",1.13291666666667
"114",-8.61,89.41,"drifting_longlines",0.947222222222222
"123",-10.35,88.26,"drifting_longlines",3.15986111111111
"124",-10.34,88.06,"drifting_longlines",3.22013888888889
