"lat_bin","lon_bin","geartype","fishing_hours"
-12.44,130.79,"fixed_gear",0.472777777777778
-7.67,137.01,"trawlers",10.9797222222222
-7.67,137.02,"trawlers",2.72347222222222
-7.61,137.27,"trawlers",2.19083333333333
-7.6,137.02,"trawlers",9.16972222222222
-7.58,136.79,"trawlers",18.6377777777778
-7.57,136.41,"trawlers",4.62791666666667
-7.55,136.48,"trawlers",9.18597222222222
-7.55,137.23,"trawlers",14.5901388888889
-7.52,136.67,"trawlers",3.84902777777778
-7.52,136.65,"trawlers",13.6722222222222
-7.47,136.89,"trawlers",3.69069444444444
-7.46,136.98,"trawlers",11.0041666666667
-7.45,136.77,"trawlers",7.74083333333333
-7.44,136.49,"trawlers",2.78680555555556
-7.43,136.92,"trawlers",6.26902777777778
7.53,137.14,"trawlers",14.6572222222222
7.57,137.23,"trawlers",4.12625
7.58,137.15,"trawlers",0.909166666666667
7.59,137.15,"trawlers",7.46597222222222
-4.63,106.75,"drifting_longlines",8.16736111111111
1.22,103.7,"purse_seines",10.9906944444444
1.25,103.86,"purse_seines",4.00125
1.22,103.7,"purse_seines",3.79861111111111
1.25,103.65,"purse_seines",3.28319444444444
